acres,distance_to_city_miles,road_frontage_ft,zoning_score,utilities,price
1.0,3,90,4,1,62000
1.5,8,110,3,1,54000
2.0,15,130,2,0,43000
2.5,5,150,4,1,76000
3.0,20,180,2,0,47000
3.5,10,200,3,1,69000
4.0,7,220,4,1,88000
4.5,25,210,2,0,51000
5.0,12,250,3,1,82000
5.5,4,280,5,1,118000
6.0,18,300,3,1,85000
6.5,30,260,2,0,56000
7.0,9,320,4,1,111000
7.5,14,340,3,1,97000
8.0,22,360,2,0,69000
8.5,6,380,5,1,139000
9.0,16,400,3,1,109000
9.5,28,390,2,0,72000
10.0,11,420,4,1,134000
11.0,5,460,5,1,159000
12.0,19,500,3,1,128000
13.0,32,480,2,0,82000
14.0,8,520,4,1,171000
15.0,13,560,4,1,179000
16.0,24,600,3,0,132000
18.0,7,650,5,1,218000
20.0,17,700,4,1,205000
22.0,29,720,3,0,151000
25.0,10,800,5,1,276000
30.0,21,900,4,1,263000
